event_id,id,name,match_id,season,competition,team,player,card_id,card_name
1ae944d9-2d09-416c-b8cf-39231a7acd08,24,Bad Behaviour,303377,2019/2020,La Liga,Barcelona,Anssumane Fati,7,Yellow Card
c4d87152-e18e-400f-bc31-ebe8091955ef,24,Bad Behaviour,303517,2019/2020,La Liga,Deportivo Alavés,Aleix Vidal Parreu,7,Yellow Card
7ea998bc-da97-4ebc-b3f9-7f5b19a6097f,24,Bad Behaviour,3773415,2020/2021,La Liga,Cádiz,Iván Alejo Peralta,7,Yellow Card
42d6c8cb-6499-44ca-9058-0d5e65ec881c,24,Bad Behaviour,303473,2019/2020,La Liga,Barcelona,Luis Alberto Suárez Díaz,7,Yellow Card
c48c8cdf-6f81-4fe2-b148-e61fe03d7a4f,24,Bad Behaviour,3773585,2020/2021,La Liga,Barcelona,Lionel Andrés Messi Cuccittini,7,Yellow Card
7ac53659-ad0f-46c1-9c8f-1a58c9e6da3f,24,Bad Behaviour,303516,2019/2020,La Liga,Celta Vigo,Iago Aspas Juncal,7,Yellow Card
d9f3034d-0498-4a8f-8376-bcc3ce7fbc16,24,Bad Behaviour,303634,2019/2020,La Liga,Osasuna,Pervis Josué Estupiñán Tenorio,7,Yellow Card
6aeccb5f-a538-432a-b9fc-f79ceaf1780b,24,Bad Behaviour,303473,2019/2020,La Liga,Barcelona,Gerard Piqué Bernabéu,7,Yellow Card
7ca8c83f-5c70-4a47-8a11-a9d2164f01e0,24,Bad Behaviour,3773474,2020/2021,La Liga,Real Valladolid,Jordi Masip López,7,Yellow Card
91ea8068-5a65-4bf3-a740-dcf8702917c7,24,Bad Behaviour,3773689,2020/2021,La Liga,Villarreal,Raúl Albiol i Tortajada,7,Yellow Card
aa333d46-38e0-437c-87e4-14c3cbdde554,24,Bad Behaviour,3749590,2003/2004,Premier League,Leicester City,Leslie Ferdinand,7,Yellow Card
02345729-69cf-44f8-9ef5-98d1b7158aa4,24,Bad Behaviour,3749590,2003/2004,Premier League,Arsenal,Jens Lehmann,7,Yellow Card
4b8f5ba3-7ca9-4b60-bec0-fe6bb64c9540,24,Bad Behaviour,3749522,2003/2004,Premier League,Arsenal,Patrick Vieira,7,Yellow Card
462c64d1-a6cd-477c-93d2-2c7b02ab336d,24,Bad Behaviour,3773386,2020/2021,La Liga,Barcelona,Lionel Andrés Messi Cuccittini,7,Yellow Card
433631fb-376a-4cce-a8e5-8ca93a5bbcb8,24,Bad Behaviour,16056,2018/2019,La Liga,Barcelona,Sergio Busquets i Burgos,7,Yellow Card
18266c13-c050-4996-8543-68009ce04eed,24,Bad Behaviour,3749233,2003/2004,Premier League,Arsenal,Ashley Cole,7,Yellow Card
0878f5cc-05e4-401f-a9ff-6153dfe374c7,24,Bad Behaviour,3749552,2003/2004,Premier League,Arsenal,Patrick Vieira,6,Second Yellow
7ccff695-8bd8-4c51-87c1-773540787e38,24,Bad Behaviour,3749233,2003/2004,Premier League,Arsenal,Eduardo César Daude Gaspar,7,Yellow Card
aec6c6e6-ba27-4aa7-bd2e-bcda6e8d85c7,24,Bad Behaviour,16196,2018/2019,La Liga,Real Madrid,Daniel Carvajal Ramos,7,Yellow Card
04967f94-2c0b-4f42-be26-1852cb6b950d,24,Bad Behaviour,16149,2018/2019,La Liga,Girona,Yassine Bounou,7,Yellow Card
2288bcf1-3e82-4f5a-96d8-68965a7be3cf,24,Bad Behaviour,3749233,2003/2004,Premier League,Manchester City,Nicolas Anelka,5,Red Card
94d8c045-b1fc-4ecb-87f1-fd867044c924,24,Bad Behaviour,303680,2019/2020,La Liga,Barcelona,Jordi Alba Ramos,7,Yellow Card
c7529a07-6c0a-4039-8ea6-a9dc1769bdce,24,Bad Behaviour,3773372,2020/2021,La Liga,Barcelona,Jordi Alba Ramos,7,Yellow Card
b6d9a116-1f0e-4805-affa-042dedf73604,24,Bad Behaviour,3749448,2003/2004,Premier League,Arsenal,Laureano Bisan-Etame Mayer,7,Yellow Card
0168113e-2389-4c04-87ce-4ce14d9da787,24,Bad Behaviour,15986,2018/2019,La Liga,Girona,Cristian Portugués Manzanera,7,Yellow Card
9aed54b8-851a-4d52-9ca4-82ec39dc6559,24,Bad Behaviour,16157,2018/2019,La Liga,Barcelona,Jordi Alba Ramos,7,Yellow Card
51951505-5a70-4558-b3f0-5d6dec5e5cbf,24,Bad Behaviour,303430,2019/2020,La Liga,Barcelona,Héctor Junior Firpo Adames,7,Yellow Card
3ad55f15-9140-4f4f-bbeb-92a6bce24b03,24,Bad Behaviour,303615,2019/2020,La Liga,Espanyol,Víctor Sánchez Mata,7,Yellow Card
f9f7f9ad-cc8b-428b-b9e9-fb88025c6261,24,Bad Behaviour,3773565,2020/2021,La Liga,Granada,Luis Javier Suárez Charris,7,Yellow Card
0bc9c386-940e-408b-9168-5b084683140c,24,Bad Behaviour,16131,2018/2019,La Liga,Eibar,Sergio Enrich Ametller,7,Yellow Card
39092874-46c9-4b0c-91eb-448257b07d7d,24,Bad Behaviour,16095,2018/2019,La Liga,Levante UD,David Remeseiro Salgueiro,7,Yellow Card
53e212e6-9886-4c2a-a525-041d502fcf14,24,Bad Behaviour,303610,2019/2020,La Liga,Granada,Carlos Fernández Luna,7,Yellow Card
2bf5b974-135b-47d3-aeb9-0b1b82001804,24,Bad Behaviour,16231,2018/2019,La Liga,Espanyol,Esteban Félix Granero Molina,7,Yellow Card
319dc89d-ae11-4d8c-9bdf-de5184b78579,24,Bad Behaviour,303516,2019/2020,La Liga,Barcelona,Gerard Piqué Bernabéu,7,Yellow Card
70d1ed40-9935-4424-8310-9f6265429a75,24,Bad Behaviour,16109,2018/2019,La Liga,Celta Vigo,Iago Aspas Juncal,7,Yellow Card
de1ea5c0-6f30-4b4d-b862-1e51edc9486d,24,Bad Behaviour,3773587,2020/2021,La Liga,Barcelona,Sergi Roberto Carnicer,7,Yellow Card
