event_id,id,name,match_id,season,competition,team,player,offensive,failure
b8611bf9-72d2-424d-8fab-1b1792b5f149,2,Ball Recovery,303421,2019/2020,La Liga,Barcelona,Anssumane Fati,False,False
1950ba48-b27f-4f84-897a-ce06598bfa7c,2,Ball Recovery,3773457,2020/2021,La Liga,Barcelona,Moriba Kourouma Kourouma,False,False
a28d1ca3-7ded-40ad-bffc-0abb08c73a49,2,Ball Recovery,16306,2018/2019,La Liga,Getafe,Dimitri Foulquier,False,False
65e8bbe6-07bc-441a-88e8-9d944f59e5d7,2,Ball Recovery,303731,2019/2020,La Liga,Barcelona,Antoine Griezmann,False,False
21eed55c-99c9-4741-9ae8-768ad2b7fd71,2,Ball Recovery,16073,2018/2019,La Liga,Barcelona,Jordi Alba Ramos,False,True
a7f7c53b-143c-48db-85a3-a144bb77f249,2,Ball Recovery,3749453,2003/2004,Premier League,Leeds United,Gary Oliver Kelly,False,True
ce41d5f9-193a-4a0a-9e7d-0f427c1c6977,2,Ball Recovery,303517,2019/2020,La Liga,Barcelona,Sergio Busquets i Burgos,False,False
d90745ef-02fd-4d92-b8b2-96ee9f1c3499,2,Ball Recovery,3773665,2020/2021,La Liga,Osasuna,David García Zubiría,False,False
2eb43f85-6646-42e5-aec5-4e0e40c9574d,2,Ball Recovery,16240,2018/2019,La Liga,Barcelona,Sergio Busquets i Burgos,False,False
e6726f02-93fb-4f7b-86c2-a37472492498,2,Ball Recovery,3773377,2020/2021,La Liga,Barcelona,Antoine Griezmann,False,False
a0b6084b-7b6d-4003-8704-c881c94a3663,2,Ball Recovery,16306,2018/2019,La Liga,Barcelona,Lionel Andrés Messi Cuccittini,False,True
7b89d35b-b76b-4ddc-af7d-749e8e038cd9,2,Ball Recovery,303715,2019/2020,La Liga,Barcelona,Marc-André ter Stegen,False,False
c32d2538-af4c-4672-a1de-b9bcaff3f104,2,Ball Recovery,3749453,2003/2004,Premier League,Arsenal,Patrick Vieira,False,False
3757f58d-b52d-4cde-b00a-9da678bea918,2,Ball Recovery,16231,2018/2019,La Liga,Espanyol,Marc Roca Junqué,False,False
2d0d63ee-a96b-45d4-b277-290d49b1d38f,2,Ball Recovery,303479,2019/2020,La Liga,Barcelona,Jordi Alba Ramos,False,False
0faaab0c-1e35-4bfa-8204-ee618b92e91a,2,Ball Recovery,16056,2018/2019,La Liga,Real Betis,Lorenzo Jesús Morón García,False,False
49949f01-5653-4c2d-b7f4-acb743c2a1ae,2,Ball Recovery,3749192,2003/2004,Premier League,Fulham,Steed Malbranque,False,False
a6c74bc9-9483-4210-99ae-de33d82fc4a1,2,Ball Recovery,3749431,2003/2004,Premier League,Newcastle United,Gary Speed,False,False
38f296de-dec1-4cb5-8914-7d5b5eac18bb,2,Ball Recovery,3749276,2003/2004,Premier League,Chelsea,William Gallas,False,False
