event_id,id,name,match_id,season,competition,team,player,offensive,foul_id,foul_name,advantage,penalty,card_id,card_name
705ac40e-0812-4ac9-ad56-cb938ad8980d,22,Foul Committed,16289,2018/2019,La Liga,Barcelona,Philippe Coutinho Correia,True,,,False,False,,
895b40cc-c461-4811-8d0f-28cebf66a92f,22,Foul Committed,303731,2019/2020,La Liga,Eibar,Álvaro Tejero Sacristán,False,,,False,False,,
230e9c15-349a-4792-9c2b-3e9cf8b1c8ae,22,Foul Committed,303596,2019/2020,La Liga,Real Madrid,Carlos Henrique Casimiro,False,,,True,False,,
bfa4c144-ad5a-4f42-8403-8daa3346f1b7,22,Foul Committed,3749465,2003/2004,Premier League,Arsenal,Gilberto Aparecido da Silva,False,,,False,False,,
07bdac6e-15ca-4a4e-8d78-decc374203f3,22,Foul Committed,303493,2019/2020,La Liga,Athletic Club,Daniel García Carrillo,False,,,False,False,,
72ee42ad-df57-4f43-81ba-10b5db1d09d8,22,Foul Committed,3749431,2003/2004,Premier League,Newcastle United,Alan Shearer,False,,,False,False,,
3a1634f6-8eb8-422d-bd5f-fe8d1eb44891,22,Foul Committed,3773523,2020/2021,La Liga,Barcelona,Francisco António Machado Mota de Castro Trincão,False,,,False,False,,
7fe9c14d-c4e3-4558-a753-d8667be63baf,22,Foul Committed,3749522,2003/2004,Premier League,Wolverhampton Wanderers,Alex Rae,False,,,False,False,7,Yellow Card
d87ac35e-82c1-4fb4-b1ae-538c51961684,22,Foul Committed,303421,2019/2020,La Liga,Deportivo Alavés,Edgar Antonio Méndez Ortega,False,,,False,False,,
2d36282f-4257-4306-9c72-20da03b3a0e0,22,Foul Committed,16265,2018/2019,La Liga,Real Sociedad,Aihen Muñoz Capellán,False,,,False,False,,
5aba3862-e3e9-4c2a-907c-b1df4a260402,22,Foul Committed,3749310,2003/2004,Premier League,Southampton,Kevin Phillips,False,,,False,False,,
dfd715c5-e3bb-4893-98e6-f9410fad0915,22,Foul Committed,3749233,2003/2004,Premier League,Arsenal,Ray Parlour,False,,,False,False,7,Yellow Card
3c1b38cd-2fcd-471d-abe8-b7cdd453ac92,22,Foul Committed,3749296,2003/2004,Premier League,Portsmouth,Amdy Moustapha Faye,False,,,True,False,,
a61d738e-0860-40ee-8082-67b908a73a1b,22,Foul Committed,303615,2019/2020,La Liga,Espanyol,David López Silva,False,,,True,False,,
50408bcf-3347-44c3-83c3-9f7f8655bdd1,22,Foul Committed,3773689,2020/2021,La Liga,Villarreal,Manuel Trigueros Muñoz,False,,,False,False,5,Red Card
3caf1679-d589-4683-b30e-fc06fe2e6d8f,22,Foul Committed,3749079,2003/2004,Premier League,Arsenal,Gilberto Aparecido da Silva,False,,,False,False,,
276fdd60-5a55-4bf4-8265-96e7bd2c8921,22,Foul Committed,303696,2019/2020,La Liga,Atlético Madrid,Saúl Ñíguez Esclapez,False,,,False,False,7,Yellow Card
224607ed-055c-43df-a9ce-a2c69f65ca63,22,Foul Committed,16173,2018/2019,La Liga,Athletic Club,Óscar de Marcos Arana,False,,,False,False,,
677f2dbd-0ef7-4ece-a2c2-9b22cdfbc3e1,22,Foul Committed,3749276,2003/2004,Premier League,Arsenal,Thierry Henry,False,,,False,False,7,Yellow Card
0cddb60c-b8cd-44f5-9cc1-227e8c2734e8,22,Foul Committed,3773372,2020/2021,La Liga,Barcelona,Moriba Kourouma Kourouma,False,,,False,False,,
c87a77f6-e0bd-42aa-9d57-80f42ebb1300,22,Foul Committed,3773457,2020/2021,La Liga,Celta Vigo,Manuel Agudo Durán,False,,,False,False,,
9fa18740-2202-45cc-898a-31f85c3abebe,22,Foul Committed,303517,2019/2020,La Liga,Deportivo Alavés,Manuel Alejandro García Sánchez,False,,,False,False,,
e9ceb310-97f3-4833-9c7e-bd4fdb15c255,22,Foul Committed,16136,2018/2019,La Liga,Barcelona,Philippe Coutinho Correia,False,,,False,False,,
146239b7-ee32-4dc9-8930-5399decbdec4,22,Foul Committed,3749552,2003/2004,Premier League,Manchester United,Cristiano Ronaldo dos Santos Aveiro,False,,,False,False,,
574cb174-270c-4b0a-8857-5500b71b1621,22,Foul Committed,303731,2019/2020,La Liga,Barcelona,Ivan Rakitić,False,,,False,False,,
72e0c8c5-b623-459b-94ac-d5a0fe253739,22,Foul Committed,303524,2019/2020,La Liga,Atlético Madrid,Jorge Resurrección Merodio,False,,,True,False,,
8528783b-23ec-44d2-9fbb-32e9c49dad61,22,Foul Committed,3749196,2003/2004,Premier League,Arsenal,Sulzeer Jeremiah ''Sol' Campbell,False,,,False,False,,
02d1f334-b9a2-44f5-8734-b0f10a889d91,22,Foul Committed,3749278,2003/2004,Premier League,Bolton Wanderers,Per Frandsen,False,,,True,False,,
d7a56cdb-d638-413a-bac8-656a42e9c003,22,Foul Committed,303377,2019/2020,La Liga,Barcelona,Arthur Henrique Ramos de Oliveira Melo,False,,,True,False,,
9172fde4-baae-422d-8c27-57b0eec62346,22,Foul Committed,16131,2018/2019,La Liga,Barcelona,Arturo Erasmo Vidal Pardo,False,,,False,False,,
a97cd536-08dd-439b-b111-6d503fd9a403,22,Foul Committed,3749233,2003/2004,Premier League,Manchester City,Claudio Reyna,False,,,True,False,,
74af28ef-e7ec-477c-bfbc-a6b9069b197f,22,Foul Committed,16215,2018/2019,La Liga,Barcelona,Clément Lenglet,False,,,False,False,7,Yellow Card
d513d4a8-c408-41b0-8887-157c7f8abc4d,22,Foul Committed,3749153,2003/2004,Premier League,Middlesbrough,Dorival Guidoni Júnior,False,,,False,False,,
293e5d27-0d17-4200-b82b-83f6b4fe8fcb,22,Foul Committed,3773661,2020/2021,La Liga,Barcelona,Jordi Alba Ramos,False,,,False,False,,
ee950c0e-ffff-4679-bee8-fc81fb382701,22,Foul Committed,303652,2019/2020,La Liga,Espanyol,Sergi Darder Moll,False,,,False,False,,
42f07821-caf6-4468-80ae-85b2bc9c4ad6,22,Foul Committed,303707,2019/2020,La Liga,Barcelona,Frenkie de Jong,True,,,False,False,,
585469da-5f58-4996-9520-87abd40fcf37,22,Foul Committed,303696,2019/2020,La Liga,Atlético Madrid,Thomas Teye Partey,False,,,True,False,,
e27e6ad4-ae67-4c0a-800d-af3a4007de7e,22,Foul Committed,16190,2018/2019,La Liga,Sevilla,Éver Maximiliano David Banega,False,,,False,False,,
b482d885-8dd4-402a-96de-8525b6ed7566,22,Foul Committed,16265,2018/2019,La Liga,Real Sociedad,Mikel Oyarzabal Ugarte,False,,,True,False,,
31ee9c07-8193-43bd-afa8-9afb9e4471e3,22,Foul Committed,303666,2019/2020,La Liga,Granada,Ramon Olamilekan Azeez,False,,,False,False,,
16759c07-1347-4178-8c60-130dd0d347d5,22,Foul Committed,16131,2018/2019,La Liga,Eibar,Anaitz Arbilla Zabala,False,,,False,False,,
e1e3bd49-0e9d-4b48-a875-785e5d1de6e8,22,Foul Committed,303725,2019/2020,La Liga,Barcelona,Arturo Erasmo Vidal Pardo,False,,,False,False,,
0a16abfe-360f-48e5-a93a-5a9db1fd946a,22,Foul Committed,3773593,2020/2021,La Liga,Barcelona,Gerard Piqué Bernabéu,False,,,False,False,,
ba7edd24-f817-4b20-bb85-66be404a1dd3,22,Foul Committed,303696,2019/2020,La Liga,Atlético Madrid,Thomas Teye Partey,False,,,False,False,,
b03c2a85-1763-4404-9180-a4129122d490,22,Foul Committed,16173,2018/2019,La Liga,Barcelona,Ivan Rakitić,False,,,False,False,,
14837a28-2f1d-4c38-81b7-b95f6c136213,22,Foul Committed,303517,2019/2020,La Liga,Deportivo Alavés,Lucas Pérez Martínez,False,,,False,False,,
c86e0b4b-4441-4060-9b08-364e1a294dd5,22,Foul Committed,16056,2018/2019,La Liga,Real Betis,Aïssa Mandi,False,,,False,False,7,Yellow Card
8daf8fc6-351c-495c-82e6-1e781a531f37,22,Foul Committed,3749603,2003/2004,Premier League,Fulham,Sylvain Legwinski,False,,,False,False,,
e401a6d7-c503-4289-b1c6-6a2860516e9d,22,Foul Committed,303516,2019/2020,La Liga,Celta Vigo,Filip Bradarić,False,,,False,False,,
9fd9b252-70d8-4acf-aa2c-ebdf7ff2433e,22,Foul Committed,303377,2019/2020,La Liga,Barcelona,Sergio Busquets i Burgos,False,,,False,False,,
9afb3d4a-1b28-4c4e-bb31-869975e13937,22,Foul Committed,3749068,2003/2004,Premier League,Arsenal,Dennis Bergkamp,False,,,False,False,,
16806b57-83b0-49b9-a94e-9d9cdcbdaa43,22,Foul Committed,3749153,2003/2004,Premier League,Middlesbrough,Ugo Ehiogu,False,,,False,True,,
9600354c-b59b-47af-808a-f91492e84945,22,Foul Committed,303532,2019/2020,La Liga,Barcelona,Lionel Andrés Messi Cuccittini,False,,,False,False,,
b426ec25-6838-4b91-92f4-a32920aace5c,22,Foul Committed,16190,2018/2019,La Liga,Sevilla,Sergi Gómez Solà,False,,,False,False,,
