event_id,id,name,match_id,season,competition,team,player,defensive,advantage,penalty
32724cb5-cd88-4953-b7e5-bde8a6c4c238,21,Foul Won,3749448,2003/2004,Premier League,Arsenal,Patrick Vieira,False,False,False
3cd52e1d-0e0b-4219-a5e6-880d68d0cdee,21,Foul Won,3773661,2020/2021,La Liga,Getafe,Damián Nicolás Suárez Suárez,False,False,False
2f3a8c88-b61d-4167-bb42-42b73f5d055d,21,Foul Won,303731,2019/2020,La Liga,Barcelona,Arturo Erasmo Vidal Pardo,False,False,False
331ba1a6-8437-4e06-84b8-201b5ee8e652,21,Foul Won,303596,2019/2020,La Liga,Barcelona,Lionel Andrés Messi Cuccittini,False,True,False
ad7c37df-c1b1-46e3-83d7-14bf9fee9170,21,Foul Won,303493,2019/2020,La Liga,Barcelona,Lionel Andrés Messi Cuccittini,False,False,False
a6206b5a-50cf-4795-9c5b-e220810ae775,21,Foul Won,3749465,2003/2004,Premier League,Blackburn Rovers,Michael Gray,False,False,False
0c0ad909-570d-4e40-8d09-aeac59a97a91,21,Foul Won,3749431,2003/2004,Premier League,Arsenal,Patrick Vieira,False,False,False
ba9c6fbc-905c-440c-a2b8-a51260210612,21,Foul Won,3773523,2020/2021,La Liga,Real Sociedad,Martín Zubimendi Ibáñez,False,False,False
808248d2-76fd-4e7d-8f74-cf816a6be7f9,21,Foul Won,3749522,2003/2004,Premier League,Arsenal,Dennis Bergkamp,False,False,False
c29df586-c431-4290-9c31-9040a521f02f,21,Foul Won,303421,2019/2020,La Liga,Barcelona,Anssumane Fati,False,False,False
fc0c5d09-18fb-4a37-a8b1-c4d677ff0ac6,21,Foul Won,16265,2018/2019,La Liga,Barcelona,Nélson Cabral Semedo,False,False,False
05ca3d16-7fce-4dfd-99f8-32a9a312e9ea,21,Foul Won,3749310,2003/2004,Premier League,Arsenal,Jens Lehmann,True,False,False
4d9c62fa-a44b-4ff5-8a31-39e6119b2bb6,21,Foul Won,3749233,2003/2004,Premier League,Manchester City,Joey Barton,True,False,False
22ca90f9-d38b-459d-8bb1-975843f5c102,21,Foul Won,3749296,2003/2004,Premier League,Arsenal,Ray Parlour,True,True,False
3ad713ce-ca51-46b7-a116-664eb46354f3,21,Foul Won,303615,2019/2020,La Liga,Barcelona,Sergio Busquets i Burgos,False,True,False
9b2374d8-11ef-4c1b-9352-c5f5f103421f,21,Foul Won,3773689,2020/2021,La Liga,Barcelona,Lionel Andrés Messi Cuccittini,True,False,False
a0742fb3-a08b-4a1e-8bc4-a845d23309a8,21,Foul Won,3749079,2003/2004,Premier League,Chelsea,Damien Duff,False,False,False
a0158dbf-ac31-443e-8fb2-fbdcfa8d1112,21,Foul Won,303696,2019/2020,La Liga,Barcelona,Lionel Andrés Messi Cuccittini,False,False,False
26658772-75f5-4915-80be-471a85ed3bbd,21,Foul Won,16173,2018/2019,La Liga,Barcelona,Nélson Cabral Semedo,True,False,False
ed585b31-3fc9-443a-9037-09ba77c370a3,21,Foul Won,3749276,2003/2004,Premier League,Chelsea,Wayne Bridge,True,False,False
0a565ef1-3cb3-4668-842d-239718c2a465,21,Foul Won,3773372,2020/2021,La Liga,Atlético Madrid,Marcos Llorente Moreno,True,False,False
96a35616-e230-462a-afc4-16c7f821650d,21,Foul Won,3773457,2020/2021,La Liga,Barcelona,Moriba Kourouma Kourouma,True,False,False
a4647af0-c525-482b-adb2-a26140e7bb78,21,Foul Won,303517,2019/2020,La Liga,Barcelona,Carles Aleña Castillo,False,False,False
d1510750-0d1c-4899-af94-bbab07444c8a,21,Foul Won,16136,2018/2019,La Liga,Leganés,José Luis García del Pozo,False,False,False
b5dc9fde-a097-4f35-aced-c5d29d25df5c,21,Foul Won,3749552,2003/2004,Premier League,Arsenal,Fredrik Ljungberg,False,False,False
0523ffbd-99c7-4958-93a9-00e7deafb0bb,21,Foul Won,303731,2019/2020,La Liga,Eibar,Papa Kouly Diop,True,False,False
a3faf435-5349-4f51-9449-063df9e0713c,21,Foul Won,303524,2019/2020,La Liga,Barcelona,Sergi Roberto Carnicer,False,True,False
7ebf7ad8-3156-424e-bdb1-479f797307f1,21,Foul Won,3749196,2003/2004,Premier League,Tottenham Hotspur,Ledley King,False,False,False
c65d2244-0fa9-44d7-867f-7e2f72ee32a1,21,Foul Won,3749278,2003/2004,Premier League,Arsenal,Gilberto Aparecido da Silva,False,True,False
5378b2fc-ac78-42f8-b357-fcd23ef0b193,21,Foul Won,303377,2019/2020,La Liga,Getafe,Jaime Mata Arnaiz,True,True,False
4042879d-379c-490b-8cdd-dadbe092effc,21,Foul Won,16131,2018/2019,La Liga,Eibar,Rubén Peña Jiménez,False,False,False
efb2b1d8-2de5-4aa8-8777-d50a101ad376,21,Foul Won,3749233,2003/2004,Premier League,Arsenal,Robert Pirès,False,True,False
bb7d9fd0-57e4-4253-96a1-cebe600cab96,21,Foul Won,16215,2018/2019,La Liga,Real Betis,Joaquín Sánchez Rodríguez,False,False,False
6897ef0c-11ff-4157-8251-a8062b0b0ce2,21,Foul Won,3749153,2003/2004,Premier League,Arsenal,Patrick Vieira,False,False,False
1575d0aa-7f4d-4443-b9fe-6fe9fe5ed7be,21,Foul Won,3773661,2020/2021,La Liga,Getafe,Juan Antonio Iglesias Sánchez,False,False,False
dc4efb07-46ba-4898-aebc-aa6337e367f1,21,Foul Won,303652,2019/2020,La Liga,Barcelona,Ivan Rakitić,False,False,False
0f0609d2-d7ac-4d19-9024-259aecad9db3,21,Foul Won,303707,2019/2020,La Liga,Real Betis,Lorenzo Jesús Morón García,True,False,False
bcb8a0b3-2a66-4232-b767-fea0702179d9,21,Foul Won,303696,2019/2020,La Liga,Barcelona,Ricard Puig Martí,False,True,False
03143744-4e4f-4421-b7bb-e9148438d19a,21,Foul Won,16190,2018/2019,La Liga,Barcelona,Ivan Rakitić,False,False,False
75cc18f4-6409-4e85-acbb-b114197ac772,21,Foul Won,16265,2018/2019,La Liga,Barcelona,Philippe Coutinho Correia,True,True,False
0edf8d35-2e5a-4c0f-9580-dbb83fc31599,21,Foul Won,303666,2019/2020,La Liga,Barcelona,Sergi Roberto Carnicer,True,False,False
c03ac57f-5257-4660-913a-bbbbde4eb9a3,21,Foul Won,16131,2018/2019,La Liga,Barcelona,Philippe Coutinho Correia,False,False,False
55c2aff2-d425-4d4b-9f5d-5ffd2d3136a1,21,Foul Won,303725,2019/2020,La Liga,Villarreal,Moisés Gómez Bordonado,True,False,False
dede1dee-64f7-430a-8cce-7a160670e0ec,21,Foul Won,3773593,2020/2021,La Liga,Villarreal,Gerard Moreno Balaguero,True,False,False
5f060047-1a92-403c-9146-9edcd60fddca,21,Foul Won,303696,2019/2020,La Liga,Barcelona,Ricard Puig Martí,False,False,False
6857d9ed-242d-4cf2-a47d-0a3df694c28f,21,Foul Won,16173,2018/2019,La Liga,Athletic Club,Yuri Berchiche Izeta,False,False,False
51642b24-fb6b-480a-8f64-d3980c5cb7f7,21,Foul Won,303517,2019/2020,La Liga,Barcelona,Jordi Alba Ramos,False,False,False
20d507ef-6cdc-41cb-92f9-6fe62ae697e6,21,Foul Won,16056,2018/2019,La Liga,Barcelona,Munir El Haddadi Mohamed,False,False,False
daed8666-6358-470f-a441-0683473cd5f2,21,Foul Won,3749603,2003/2004,Premier League,Arsenal,Ray Parlour,False,False,False
17f27bbf-f8e2-4b9d-9f98-ee8ad1921d78,21,Foul Won,303516,2019/2020,La Liga,Barcelona,Ivan Rakitić,False,False,False
b9b2f523-fa48-409a-ba08-26cafb10231a,21,Foul Won,303377,2019/2020,La Liga,Getafe,Marc Cucurella Saseta,False,False,False
