event_id,id,name,match_id,season,competition,team,player,pos_id,pos_name,technique_id,technique_name,body_id,body_name,outcome_id,outcome_name
e893de85-ec9e-43ef-bc8a-a04a7228b3e6,23,Goal Keeper,3773586,2020/2021,La Liga,Granada,Aarón Escandell Banacloche,44,Set,,,,,,
4fae1b97-9e9b-4d54-8344-6a369ecf89bc,23,Goal Keeper,3749246,2003/2004,Premier League,Arsenal,Jens Lehmann,44,Set,,,,,,
ba9a5823-a016-4eb3-8210-8bb8d16a438d,23,Goal Keeper,3749493,2003/2004,Premier League,Arsenal,Jens Lehmann,44,Set,45,Diving,,,55,No Touch
77c714f7-c386-4382-8986-f7794d0b0809,23,Goal Keeper,3749274,2003/2004,Premier League,Arsenal,Jens Lehmann,44,Set,46,Standing,36,Chest,58,Touched In
f268d234-ff1a-4778-bbde-2980b257a238,23,Goal Keeper,303666,2019/2020,La Liga,Granada,Rui Tiago Dantas da Silva,44,Set,,,,,,
97917090-d2d5-44fe-9626-2023a5db4e1e,23,Goal Keeper,16265,2018/2019,La Liga,Barcelona,Marc-André ter Stegen,,,,,,,47,Claim
23a49ea3-a1da-4c56-85c7-c906aec34383,23,Goal Keeper,3749603,2003/2004,Premier League,Fulham,Edwin van der Sar,,,,,,,16,Success In Play
4b8341c5-699f-43fc-82cb-31537c1e169f,23,Goal Keeper,3773474,2020/2021,La Liga,Barcelona,Marc-André ter Stegen,44,Set,,,,,,
258630e2-7c23-4fba-a619-04c12aeaedb5,23,Goal Keeper,16248,2018/2019,La Liga,Atlético Madrid,Jan Oblak,44,Set,45,Diving,41,Right Hand,52,In Play Danger
78c57980-2fef-4405-8885-7c081676a49a,23,Goal Keeper,3749310,2003/2004,Premier League,Southampton,Antti Mikko Niemi,44,Set,,,,,,
30a82ace-72a1-473c-8b49-2e83ac910a57,23,Goal Keeper,3773387,2020/2021,La Liga,Barcelona,Marc-André ter Stegen,44,Set,,,,,,
eac17374-9448-4107-b3cf-0e42eb8c6cd3,23,Goal Keeper,303487,2019/2020,La Liga,Celta Vigo,Rubén Blanco Veiga,44,Set,45,Diving,,,55,No Touch
03681f7e-e3e6-4e37-a36e-fd4e0ec901d7,23,Goal Keeper,3773526,2020/2021,La Liga,Deportivo Alavés,Fernando Pacheco Flores,44,Set,46,Standing,35,Both Hands,15,Success
02192435-e363-463a-83e8-6715638df5d7,23,Goal Keeper,16182,2018/2019,La Liga,Real Valladolid,Jordi Masip López,44,Set,46,Standing,35,Both Hands,15,Success
bf433edd-8484-44a7-9e17-432ca09b7456,23,Goal Keeper,16095,2018/2019,La Liga,Levante UD,Oier Olazábal Paredes,44,Set,,,,,,
8b38fe08-118a-436d-b5dc-d27a68f4c3bc,23,Goal Keeper,303473,2019/2020,La Liga,Barcelona,Marc-André ter Stegen,44,Set,,,,,,
8b79929c-9915-4d93-81b2-c5cabaa15eca,23,Goal Keeper,303682,2019/2020,La Liga,Levante UD,Aitor Fernández Abarisketa,44,Set,46,Standing,,,55,No Touch
abd98868-862f-4d26-a64e-dbd36bbfd668,23,Goal Keeper,3764661,2020/2021,La Liga,Barcelona,Marc-André ter Stegen,44,Set,,,,,,
8054035a-595d-4d48-8094-d9579f58defd,23,Goal Keeper,16275,2018/2019,La Liga,Barcelona,Marc-André ter Stegen,,,,,,,15,Success
64d98136-1244-4f18-bb4a-58ff98b7b9cc,23,Goal Keeper,3749358,2003/2004,Premier League,Middlesbrough,Mark Schwarzer,42,Moving,46,Standing,,,55,No Touch
f7f2d080-b30d-455e-ac12-15891ddeafa9,23,Goal Keeper,16265,2018/2019,La Liga,Barcelona,Marc-André ter Stegen,44,Set,46,Standing,,,55,No Touch
cb1af6c2-963f-41fc-922a-f812b060bb6f,23,Goal Keeper,3773672,2020/2021,La Liga,Sevilla,Yassine Bounou,44,Set,,,,,,
1dfe9bbb-b85f-4bdb-9a75-35830bd5bf37,23,Goal Keeper,303615,2019/2020,La Liga,Espanyol,Diego López Rodríguez,44,Set,,,,,,
f67c48e6-ea1a-40cb-9c0a-d98262389abe,23,Goal Keeper,3773386,2020/2021,La Liga,Deportivo Alavés,Fernando Pacheco Flores,44,Set,,,,,,
2ba4188d-86b4-45f8-be29-7d4812e07a77,23,Goal Keeper,3749133,2003/2004,Premier League,Arsenal,Jens Lehmann,44,Set,45,Diving,35,Both Hands,15,Success
2292c7d1-8ba8-45ef-a367-4a40bcf3a698,23,Goal Keeper,16136,2018/2019,La Liga,Barcelona,Marc-André ter Stegen,44,Set,,,,,,
0d99b853-bc42-4a84-97b3-c9890a10c3c2,23,Goal Keeper,3749274,2003/2004,Premier League,Arsenal,Jens Lehmann,44,Set,,,,,,
a481866b-bc0e-4fac-9598-00e7fc059397,23,Goal Keeper,3749522,2003/2004,Premier League,Wolverhampton Wanderers,Michael Oakes,44,Set,46,Standing,35,Both Hands,59,Touched Out
3fe0c390-9843-46d0-a192-67317484a9c8,23,Goal Keeper,16190,2018/2019,La Liga,Barcelona,Marc-André ter Stegen,,,,,,,15,Success
f86bfb84-654b-42b6-8d8e-0a014a7b2d70,23,Goal Keeper,16157,2018/2019,La Liga,Barcelona,Marc-André ter Stegen,44,Set,,,,,,
c81dc68c-92b3-4dfe-8c9d-830a8888ae64,23,Goal Keeper,3749522,2003/2004,Premier League,Wolverhampton Wanderers,Michael Oakes,44,Set,,,,,,
4fe0ab7d-9f72-4743-899e-4f40e8625996,23,Goal Keeper,3749246,2003/2004,Premier League,Arsenal,Jens Lehmann,44,Set,,,,,,
97698a88-695a-4cb7-9f3a-2a2de48bc431,23,Goal Keeper,303615,2019/2020,La Liga,Barcelona,Marc-André ter Stegen,44,Set,,,,,,
695b67b4-f567-4782-b8f9-bb336a5bc053,23,Goal Keeper,3749590,2003/2004,Premier League,Arsenal,Jens Lehmann,44,Set,,,,,,
718cea76-92b4-42be-8f8a-55cf0b589e1d,23,Goal Keeper,3773474,2020/2021,La Liga,Real Valladolid,Jordi Masip López,44,Set,46,Standing,35,Both Hands,15,Success
6bb01bb5-dd28-4f32-aa95-3577b193aa9f,23,Goal Keeper,16079,2018/2019,La Liga,Villarreal,Sergio Asenjo Andrés,,,,,37,Head,48,Clear
9359e765-eccf-4add-b884-6188ec76e777,23,Goal Keeper,3773377,2020/2021,La Liga,Valencia,Jaume Doménech Sánchez,44,Set,,,,,,
bbe2ae9a-c089-4b8f-9b25-ade9f8a82d07,23,Goal Keeper,303680,2019/2020,La Liga,Real Valladolid,Jordi Masip López,44,Set,45,Diving,,,55,No Touch
798d0619-93e3-4f56-a1e3-1af8f0d3fd21,23,Goal Keeper,3773586,2020/2021,La Liga,Granada,Aarón Escandell Banacloche,44,Set,,,,,,
4b12435c-2f7b-49d3-a447-a02c986e51be,23,Goal Keeper,3749257,2003/2004,Premier League,Leicester City,Ian Walker,44,Set,46,Standing,41,Right Hand,59,Touched Out
44d06682-9327-4b6c-94a5-292fd37f9233,23,Goal Keeper,303615,2019/2020,La Liga,Espanyol,Diego López Rodríguez,,,,,37,Head,48,Clear
f23e909d-2d01-49b2-ba24-0fc09e8a9104,23,Goal Keeper,3773372,2020/2021,La Liga,Barcelona,Marc-André ter Stegen,44,Set,,,,,,
5b82d1d7-2542-4b44-9ba0-b7db77c2e687,23,Goal Keeper,3749552,2003/2004,Premier League,Arsenal,Jens Lehmann,,,,,,,53,In Play Safe
16043a4a-83f0-4c80-a949-0d874ea10593,23,Goal Keeper,16010,2018/2019,La Liga,Barcelona,Marc-André ter Stegen,44,Set,,,,,,
d5c4623a-c6e0-425e-b9cb-86d3c86fc1d0,23,Goal Keeper,3773372,2020/2021,La Liga,Barcelona,Marc-André ter Stegen,,,,,,,15,Success
4d1a700f-36c7-4c65-8e6a-3717592c4635,23,Goal Keeper,3773387,2020/2021,La Liga,Levante UD,Aitor Fernández Abarisketa,42,Moving,45,Diving,35,Both Hands,53,In Play Safe
8bf00d47-16e1-4d50-8906-9e627ba7463a,23,Goal Keeper,3749296,2003/2004,Premier League,Arsenal,Jens Lehmann,,,,,,,15,Success
0118d1ac-b217-4530-93dd-b3902875436c,23,Goal Keeper,3773597,2020/2021,La Liga,Barcelona,Marc-André ter Stegen,44,Set,46,Standing,35,Both Hands,15,Success
3f1e374f-b70f-454d-886a-3673dab02338,23,Goal Keeper,3773552,2020/2021,La Liga,Huesca,Álvaro Fernández Llorente,44,Set,,,,,,
dbe0c917-89ec-4afa-8fc5-e9453214df4e,23,Goal Keeper,303700,2019/2020,La Liga,Eibar,Marko Dmitrović,,,,,,,47,Claim
5a67430e-db74-4010-a755-0063080d1b22,23,Goal Keeper,16095,2018/2019,La Liga,Levante UD,Oier Olazábal Paredes,44,Set,46,Standing,40,Right Foot,53,In Play Safe
fc8326ed-0fa9-4a88-aa2c-34466af64765,23,Goal Keeper,3773656,2020/2021,La Liga,Atlético Madrid,Jan Oblak,44,Set,,,,,,
07136391-f74d-40b0-bd43-846f36881893,23,Goal Keeper,3749448,2003/2004,Premier League,Liverpool,Jerzy Dudek,44,Set,,,,,,
1a9fb943-bd96-47c6-8d53-45b85766cb63,23,Goal Keeper,16136,2018/2019,La Liga,Leganés,Iván Cuéllar Sacristán,44,Set,,,,,,
2df61312-1f15-4314-88f5-41a4665b2b61,23,Goal Keeper,303377,2019/2020,La Liga,Getafe,David Soria Solís,44,Set,,,,,,
e08f347b-2eb3-4348-99d3-a2f214f525e8,23,Goal Keeper,3773571,2020/2021,La Liga,Real Valladolid,Jordi Masip López,44,Set,,,,,,
eae4840a-2aa4-4abd-b3ef-50ed844f4922,23,Goal Keeper,16289,2018/2019,La Liga,Levante UD,Aitor Fernández Abarisketa,44,Set,45,Diving,35,Both Hands,15,Success
