match_id,season,competition,team,player
3749526,2003/2004,Premier League,Arsenal,Kolo Habib Touré
3749603,2003/2004,Premier League,Fulham,Brian McBride
3749603,2003/2004,Premier League,Fulham,Steed Malbranque
3749526,2003/2004,Premier League,Arsenal,Gilberto Aparecido da Silva
3749603,2003/2004,Premier League,Fulham,Moritz Volz
3749526,2003/2004,Premier League,Arsenal,Laureano Bisan-Etame Mayer
3749603,2003/2004,Premier League,Fulham,Junichi Inamoto
3749526,2003/2004,Premier League,Charlton Athletic,Radostin Kishishev
3749603,2003/2004,Premier League,Fulham,Sylvain Legwinski
3749526,2003/2004,Premier League,Charlton Athletic,Claus Jensen
3749603,2003/2004,Premier League,Fulham,Sean Davis
3749526,2003/2004,Premier League,Charlton Athletic,Scott Parker
3749603,2003/2004,Premier League,Fulham,Carlos Manuel Bocanegra
3749526,2003/2004,Premier League,Charlton Athletic,Jamal Julian Campbell-Ryce
3749603,2003/2004,Premier League,Fulham,Ian Pearce
3749603,2003/2004,Premier League,Fulham,Alain Goma
3749526,2003/2004,Premier League,Charlton Athletic,Jason Joseph Euell
3749526,2003/2004,Premier League,Charlton Athletic,Paolo Di Canio
3749603,2003/2004,Premier League,Fulham,Martin Djetou
3749526,2003/2004,Premier League,Charlton Athletic,Graham Stuart
3749526,2003/2004,Premier League,Charlton Athletic,Hermann Hreidarsson
3749603,2003/2004,Premier League,Fulham,Luís Boa Morte Pereira
3749526,2003/2004,Premier League,Charlton Athletic,Dean Kiely
3749603,2003/2004,Premier League,Fulham,Collins John
3749526,2003/2004,Premier League,Charlton Athletic,Matt Holland
3749526,2003/2004,Premier League,Charlton Athletic,Mark Fish
16240,2018/2019,La Liga,Barcelona,Philippe Coutinho Correia
16240,2018/2019,La Liga,Barcelona,Sergio Busquets i Burgos
3749526,2003/2004,Premier League,Charlton Athletic,Chris Perry
3749526,2003/2004,Premier League,Charlton Athletic,Jonatan Lillebror Johansson
16240,2018/2019,La Liga,Barcelona,Jordi Alba Ramos
16240,2018/2019,La Liga,Barcelona,Gerard Piqué Bernabéu
3749431,2003/2004,Premier League,Arsenal,Ashley Cole
16240,2018/2019,La Liga,Barcelona,Luis Alberto Suárez Díaz
3749133,2003/2004,Premier League,Aston Villa,Peter Crouch
16240,2018/2019,La Liga,Barcelona,Ivan Rakitić
3749133,2003/2004,Premier League,Aston Villa,Peter Whittingham
16240,2018/2019,La Liga,Barcelona,Samuel Yves Umtiti
16240,2018/2019,La Liga,Barcelona,Lionel Andrés Messi Cuccittini
3749133,2003/2004,Premier League,Aston Villa,Liam Ridgewell
3749133,2003/2004,Premier League,Aston Villa,Olof Mellberg
16240,2018/2019,La Liga,Barcelona,Nélson Cabral Semedo
16240,2018/2019,La Liga,Barcelona,Sergi Roberto Carnicer
3749133,2003/2004,Premier League,Aston Villa,Thomas Hitzlsperger
16317,2018/2019,La Liga,Barcelona,Moussa Wagué
303377,2019/2020,La Liga,Getafe,Djené Dakonam Ortega
16317,2018/2019,La Liga,Barcelona,Nélson Cabral Semedo
303377,2019/2020,La Liga,Getafe,David Soria Solís
16317,2018/2019,La Liga,Barcelona,Sergi Roberto Carnicer
303377,2019/2020,La Liga,Getafe,David Timor Copoví
303377,2019/2020,La Liga,Getafe,Xabier Etxeita Gorritxategi
16317,2018/2019,La Liga,Barcelona,Clément Lenglet
303377,2019/2020,La Liga,Getafe,Erick Cathriel Cabaco Almada
16317,2018/2019,La Liga,Barcelona,Arturo Erasmo Vidal Pardo
303377,2019/2020,La Liga,Getafe,Mauro Wilney Arambarri Rosa
16317,2018/2019,La Liga,Barcelona,Jasper Cillessen
303377,2019/2020,La Liga,Getafe,Nemanja Maksimović
16317,2018/2019,La Liga,Barcelona,Carles Aleña Castillo
303377,2019/2020,La Liga,Getafe,Leandro Chichizola
303377,2019/2020,La Liga,Getafe,Mathías Olivera Miramontes
303377,2019/2020,La Liga,Getafe,Jaime Mata Arnaiz
16317,2018/2019,La Liga,Barcelona,Ricard Puig Martí
303377,2019/2020,La Liga,Getafe,Marc Cucurella Saseta
16317,2018/2019,La Liga,Barcelona,Abel Ruiz Ortega
303377,2019/2020,La Liga,Getafe,Deyverson Brum Silva Acosta
16317,2018/2019,La Liga,Barcelona,Carles Pérez Sayol
303377,2019/2020,La Liga,Barcelona,Sergio Busquets i Burgos
16317,2018/2019,La Liga,Barcelona,Ignacio Peña Sotorres
303377,2019/2020,La Liga,Barcelona,Jordi Alba Ramos
303377,2019/2020,La Liga,Barcelona,Gerard Piqué Bernabéu
16317,2018/2019,La Liga,Eibar,Marko Dmitrović
303377,2019/2020,La Liga,Barcelona,Ivan Rakitić
16317,2018/2019,La Liga,Eibar,Sergio Enrich Ametller
303377,2019/2020,La Liga,Barcelona,Antoine Griezmann
303377,2019/2020,La Liga,Barcelona,Samuel Yves Umtiti
16317,2018/2019,La Liga,Eibar,Joan Jordán Moreno
303377,2019/2020,La Liga,Barcelona,Lionel Andrés Messi Cuccittini
