id,season,competition,date,kick_off,home_team,away_team,home_score,away_score,week,competition_stage,stadium,referee
16289,2018/2019,La Liga,2019-04-27,20:45:00.000,Barcelona,Levante UD,1,0,35,Regular Season,Spotify Camp Nou,Ricardo De Burgos Bengoetxea
3749296,2003/2004,Premier League,2003-09-13,16:00:00.000,Arsenal,Portsmouth,1,1,5,Regular Season,Highbury Stadium,
3749246,2003/2004,Premier League,2004-03-28,17:05:00.000,Arsenal,Manchester United,1,1,30,Regular Season,Highbury Stadium,
3749454,2003/2004,Premier League,2003-08-31,17:05:00.000,Manchester City,Arsenal,1,2,1,Regular Season,Etihad Stadium,
16079,2018/2019,La Liga,2018-12-02,18:30:00.000,Barcelona,Villarreal,2,0,14,Regular Season,Spotify Camp Nou,José Luis Munuera Montero
3749276,2003/2004,Premier League,2004-02-21,13:30:00.000,Chelsea,Arsenal,1,2,2,Regular Season,Stamford Bridge,
3749257,2003/2004,Premier League,2004-05-15,16:00:00.000,Arsenal,Leicester City,2,1,38,Regular Season,Highbury Stadium,
3749068,2003/2004,Premier League,2004-04-25,17:05:00.000,Tottenham Hotspur,Arsenal,2,2,2,Regular Season,White Hart Lane,
16149,2018/2019,La Liga,2019-01-27,16:15:00.000,Girona,Barcelona,0,2,21,Regular Season,Estadi Municipal de Montilivi,Pablo González Fuertes
3749642,2003/2004,Premier League,2004-02-28,16:00:00.000,Arsenal,Charlton Athletic,2,1,27,Regular Season,Highbury Stadium,
16275,2018/2019,La Liga,2019-04-23,21:30:00.000,Deportivo Alavés,Barcelona,0,2,34,Regular Season,Estadio de Mendizorroza,
3749310,2003/2004,Premier League,2003-12-29,21:00:00.000,Southampton,Arsenal,0,1,1,Regular Season,St. Mary''s Stadium,
3749493,2003/2004,Premier League,2003-08-16,16:00:00.000,Arsenal,Everton,2,1,1,Regular Season,Highbury Stadium,
15973,2018/2019,La Liga,2018-09-02,18:30:00.000,Barcelona,Huesca,8,2,3,Regular Season,Spotify Camp Nou,Mario Melero López
3749358,2003/2004,Premier League,2003-08-24,17:05:00.000,Middlesbrough,Arsenal,0,4,1,Regular Season,Riverside Stadium ,
3749434,2003/2004,Premier League,2003-11-22,16:00:00.000,Birmingham City,Arsenal,0,3,1,Regular Season,St. Andrews Stadium,
16317,2018/2019,La Liga,2019-05-19,16:15:00.000,Eibar,Barcelona,2,2,38,Regular Season,Estadio Municipal de Ipurúa,
16131,2018/2019,La Liga,2019-01-13,18:30:00.000,Barcelona,Eibar,3,0,19,Regular Season,Spotify Camp Nou,Jesús Gil Manzano
3749192,2003/2004,Premier League,2003-11-30,15:00:00.000,Arsenal,Fulham,0,0,14,Regular Season,Highbury Stadium,
3749196,2003/2004,Premier League,2003-11-08,16:00:00.000,Arsenal,Tottenham Hotspur,2,1,12,Regular Season,Highbury Stadium,
3749448,2003/2004,Premier League,2004-04-09,13:30:00.000,Arsenal,Liverpool,4,2,31,Regular Season,Highbury Stadium,
16205,2018/2019,La Liga,2019-03-09,18:30:00.000,Barcelona,Rayo Vallecano,3,1,27,Regular Season,Spotify Camp Nou,
3749360,2003/2004,Premier League,2003-12-14,15:00:00.000,Arsenal,Blackburn Rovers,1,0,16,Regular Season,Highbury Stadium,
3749346,2003/2004,Premier League,2003-11-01,16:00:00.000,Leeds United,Arsenal,1,4,1,Regular Season,Elland Road ,
3749453,2003/2004,Premier League,2004-04-16,21:00:00.000,Arsenal,Leeds United,5,0,33,Regular Season,Highbury Stadium,
16095,2018/2019,La Liga,2018-12-16,20:45:00.000,Levante UD,Barcelona,0,5,16,Regular Season,Estadio Ciudad de Valencia,José Luis González González
16306,2018/2019,La Liga,2019-05-12,18:30:00.000,Barcelona,Getafe,2,0,37,Regular Season,Spotify Camp Nou,José Luis González González
3749278,2003/2004,Premier League,2003-12-20,16:00:00.000,Bolton Wanderers,Arsenal,1,1,1,Regular Season,University of Bolton Stadium,
16010,2018/2019,La Liga,2018-09-29,16:15:00.000,Barcelona,Athletic Club,1,1,7,Regular Season,Spotify Camp Nou,
3749253,2003/2004,Premier League,2003-10-04,13:30:00.000,Liverpool,Arsenal,1,2,1,Regular Season,Anfield ,
15986,2018/2019,La Liga,2018-09-23,20:45:00.000,Barcelona,Girona,2,2,5,Regular Season,Spotify Camp Nou,Jesús Gil Manzano
3773656,2020/2021,La Liga,2020-11-21,21:00:00.000,Atlético Madrid,Barcelona,1,0,10,Regular Season,	Estádio Cívitas Metropolitano,
3749603,2003/2004,Premier League,2004-05-09,17:05:00.000,Fulham,Arsenal,0,1,2,Regular Season,Loftus Road,
16240,2018/2019,La Liga,2019-04-02,21:30:00.000,Villarreal,Barcelona,4,4,30,Regular Season,Estadio de la Cerámica,
3749274,2003/2004,Premier League,2004-05-04,21:00:00.000,Portsmouth,Arsenal,1,1,2,Regular Season,,Michael Riley
3749079,2003/2004,Premier League,2003-10-18,16:00:00.000,Arsenal,Chelsea,2,1,9,Regular Season,Highbury Stadium,
16023,2018/2019,La Liga,2018-10-07,20:45:00.000,Valencia,Barcelona,1,1,8,Regular Season,Estadio de Mestalla,José Luis González González
3749590,2003/2004,Premier League,2003-12-06,16:00:00.000,Leicester City,Arsenal,1,1,1,Regular Season,,Robert Styles
3749631,2003/2004,Premier League,2004-02-10,20:45:00.000,Arsenal,Southampton,2,0,25,Regular Season,,Neale Barry
3749465,2003/2004,Premier League,2004-03-13,16:00:00.000,Blackburn Rovers,Arsenal,0,2,2,Regular Season,Ewood Park ,
16196,2018/2019,La Liga,2019-03-02,20:45:00.000,Real Madrid,Barcelona,0,1,26,Regular Season,Estadio Santiago Bernabéu,Alberto Undiano Mallenco
3749117,2003/2004,Premier League,2004-01-07,21:00:00.000,Everton,Arsenal,1,1,2,Regular Season,,Alan Wiley
3749108,2003/2004,Premier League,2003-08-27,20:45:00.000,Arsenal,Aston Villa,2,0,3,Regular Season,,
3749153,2003/2004,Premier League,2004-01-10,16:00:00.000,Arsenal,Middlesbrough,4,1,21,Regular Season,Highbury Stadium,
15956,2018/2019,La Liga,2018-08-25,22:15:00.000,Real Valladolid,Barcelona,0,1,2,Regular Season,Estadio Municipal José Zorrilla,Ricardo De Burgos Bengoetxea
3749403,2003/2004,Premier League,2004-03-20,16:00:00.000,Arsenal,Bolton Wanderers,2,1,29,Regular Season,Highbury Stadium,
16231,2018/2019,La Liga,2019-03-30,16:15:00.000,Barcelona,Espanyol,2,0,29,Regular Season,Spotify Camp Nou,
3749522,2003/2004,Premier League,2003-12-26,13:00:00.000,Arsenal,Wolverhampton Wanderers,3,0,18,Regular Season,Highbury Stadium,
3749526,2003/2004,Premier League,2003-10-26,15:00:00.000,Charlton Athletic,Arsenal,1,1,1,Regular Season,The Valley,
3749133,2003/2004,Premier League,2004-01-18,15:00:00.000,Aston Villa,Arsenal,0,2,2,Regular Season,Villa Park,
3749431,2003/2004,Premier League,2004-04-11,17:05:00.000,Newcastle United,Arsenal,0,0,2,Regular Season,St. James'' Park,
303532,2019/2020,La Liga,2020-06-16,22:00:00.000,Barcelona,Leganés,2,0,29,Regular Season,Spotify Camp Nou,
3749528,2003/2004,Premier League,2003-09-26,21:00:00.000,Arsenal,Newcastle United,3,2,7,Regular Season,Highbury Stadium,
303731,2019/2020,La Liga,2020-02-22,16:00:00.000,Barcelona,Eibar,5,0,25,Regular Season,Spotify Camp Nou,
303516,2019/2020,La Liga,2020-06-27,17:00:00.000,Celta Vigo,Barcelona,2,2,32,Regular Season,Abanca-Balaídos,
3749233,2003/2004,Premier League,2004-02-01,17:05:00.000,Arsenal,Manchester City,2,1,23,Regular Season,Highbury Stadium,
