name,id,jersey,team,country
Danny Mills,40326,15,Middlesbrough,England
Maxime Gonalons,6982,4,Granada,France
Domingos Quina,22140,12,Granada,Portugal
Pedro Alcalá Guirado,6579,5,Girona,Spain
Tim Howard,13042,14,Manchester United,United States of America
Dennis Bergkamp,15042,10,Arsenal,Netherlands
Adrian Mutu,18105,7,Chelsea,Romania
Álvaro Negredo Sánchez,20542,18,Cádiz,Spain
Rubén García Santos,23943,14,Osasuna,Spain
Manuel Sánchez De La Peña,33339,35,Atlético Madrid,Spain
Etienne Capoue,3721,25,Villarreal,France
Samuel Chimerenka Chukwueze,16335,30,Villarreal,Nigeria
Pedro Antonio Porro Sauceda,11292,24,Girona,Spain
Eugeni Valderrama Domènech,24504,8,Huesca,Spain
Simon Thorup Kjær,5534,4,Sevilla,Denmark
Youri Djorkaeff,15073,6,Bolton Wanderers,France
Saidy Janko,3417,18,Real Valladolid,Gambia
Adrián López Álvarez,6735,22,Osasuna,Spain
Augusto Matías Fernández,19668,17,Cádiz,Argentina
Giorgi Kochorashvili,41202,43,Levante UD,Georgia
Nikos Dabizas,24798,0,Leicester City,Greece
Gary Oliver Kelly,40270,2,Leeds United,Ireland
Cristian Rivero Sabater,36900,25,Valencia,Spain
Harald Wapenaar,376519,25,Portsmouth,Netherlands
Mariano Díaz Mejía,3163,24,Real Madrid,Dominican Republic
Robert Ibáñez Castro,18721,17,Getafe,Spain
Sergio Carreira Vilariño,49531,34,Celta Vigo,Spain
Iñaki Williams Arthuer,6393,9,Athletic Club,Ghana
Maik Taylor,40292,0,Birmingham City,Northern Ireland
Jihai Sun,40215,0,Manchester City,China
Darwin Daniel Machís Marcano,11501,11,Granada,Venezuela (Bolivarian Republic)
Guido Rodríguez,26404,21,Real Betis,Argentina
Billy McKinlay,15049,32,Leicester City,Scotland
Rodrigo Andrés Battaglia,10605,6,Deportivo Alavés,Argentina
Federico San Emeterio Díaz,24141,16,Real Valladolid,Spain
Alberto Rodríguez Baró,30419,27,Deportivo Alavés,Spain
Nabil Fekir,2948,8,Real Betis,France
Wissam Ben Yedder,6723,9,Sevilla,France
Ángel Luis Rodríguez Díaz,6611,9,Getafe,Spain
