match_id,season,competition,player,position_id,position,from_time,to_time,from_period,to_period,start_reason,end_reason
3773466,2020/2021,La Liga,Jeison Fabián Murillo Cerón,5,Left Center Back,47:49,67:39,2,2,Tactical Shift,Tactical Shift
3773466,2020/2021,La Liga,Jeison Fabián Murillo Cerón,3,Right Center Back,67:39,71:50,2,2,Tactical Shift,Tactical Shift
3749603,2003/2004,Premier League,Carlos Manuel Bocanegra,6,Left Back,00:00,,1,,Starting XI,Final Whistle
3773466,2020/2021,La Liga,Jeison Fabián Murillo Cerón,5,Left Center Back,71:50,,2,,Tactical Shift,Final Whistle
3773466,2020/2021,La Liga,Santiago Mina Lorenzo,23,Center Forward,59:43,,2,,Tactical Shift,Final Whistle
3773466,2020/2021,La Liga,Santiago Mina Lorenzo,22,Right Center Forward,59:16,59:43,2,2,Substitution - On (Tactical),Tactical Shift
3749603,2003/2004,Premier League,Ian Pearce,3,Right Center Back,00:00,,1,,Starting XI,Final Whistle
3773466,2020/2021,La Liga,Denis Suárez Fernández,13,Right Center Midfield,59:43,64:36,2,2,Tactical Shift,Tactical Shift
3773466,2020/2021,La Liga,Denis Suárez Fernández,15,Left Center Midfield,00:00,59:43,1,2,Starting XI,Tactical Shift
3749603,2003/2004,Premier League,Alain Goma,5,Left Center Back,00:00,,1,,Starting XI,Final Whistle
3773466,2020/2021,La Liga,Denis Suárez Fernández,15,Left Center Midfield,64:36,,2,,Tactical Shift,Final Whistle
3749603,2003/2004,Premier League,Martin Djetou,12,Right Midfield,00:00,57:40,1,2,Starting XI,Substitution - Off (Tactical)
3773466,2020/2021,La Liga,Manuel Agudo Durán,21,Left Wing,59:43,,2,,Tactical Shift,Final Whistle
3773466,2020/2021,La Liga,Manuel Agudo Durán,7,Right Wing Back,59:04,59:43,2,2,Substitution - On (Tactical),Tactical Shift
3749603,2003/2004,Premier League,Luís Boa Morte Pereira,23,Center Forward,00:00,,1,,Starting XI,Final Whistle
3773466,2020/2021,La Liga,Emre Mor,22,Right Center Forward,00:00,32:14,1,1,Starting XI,Tactical Shift
3749603,2003/2004,Premier League,Collins John,12,Right Midfield,57:40,,2,,Substitution - On (Tactical),Final Whistle
3773466,2020/2021,La Liga,Emre Mor,24,Left Center Forward,32:14,35:42,1,1,Tactical Shift,Tactical Shift
3773466,2020/2021,La Liga,Emre Mor,22,Right Center Forward,35:42,37:16,1,1,Tactical Shift,Tactical Shift
