event_id,id,name,match_id,season,competition,team,player,subbed_name,outcome_id,outcome_name
574c4204-a138-41f7-8535-bd9bbc9f6372,19,Substitution,3749253,2003/2004,Premier League,Liverpool,Michael Owen,Emile Heskey,103,Tactical
b7db1719-ddda-4605-a62d-71bc2e855500,19,Substitution,3773386,2020/2021,La Liga,Barcelona,Jordi Alba Ramos,Sergino Dest,103,Tactical
13c115da-76f8-4b2d-8393-5f43f8ba18b7,19,Substitution,3773497,2020/2021,La Liga,Real Madrid,Toni Kroos,Francisco Román Alarcón Suárez,103,Tactical
3e1c6593-5ca6-4a3d-ac2e-762eb225b6b5,19,Substitution,303725,2019/2020,La Liga,Barcelona,Antoine Griezmann,Anssumane Fati,103,Tactical
68ab03bd-e6fb-4812-af6b-bcb73c0eb188,19,Substitution,3749253,2003/2004,Premier League,Arsenal,Jérémie Aliadière,Sylvain Wiltord,103,Tactical
fea695ef-fb5d-4154-a537-4a62a2b4c3cf,19,Substitution,3773665,2020/2021,La Liga,Osasuna,Rubén García Santos,Adrián López Álvarez,103,Tactical
bdbd6045-ff3a-4a2a-a344-1447f665cf09,19,Substitution,3773497,2020/2021,La Liga,Real Madrid,Vinícius José Paixão de Oliveira Júnior,Marcelo Vieira da Silva Júnior,103,Tactical
56edd295-9751-443c-abea-deb807a6f648,19,Substitution,15986,2018/2019,La Liga,Barcelona,Arthur Henrique Ramos de Oliveira Melo,Philippe Coutinho Correia,103,Tactical
714a7e41-4be8-4922-b24a-b1a999838ca6,19,Substitution,303725,2019/2020,La Liga,Barcelona,Sergio Busquets i Burgos,Martin Braithwaite Christensen,103,Tactical
cc7e4745-bab6-4ebe-957e-5864861cd87c,19,Substitution,3749603,2003/2004,Premier League,Arsenal,Robert Pirès,Gaël Clichy,103,Tactical
7f649406-4c59-4607-a211-7d800a6bb6f2,19,Substitution,15986,2018/2019,La Liga,Barcelona,Arturo Erasmo Vidal Pardo,Ivan Rakitić,103,Tactical
8c93f4d4-71e0-48b4-8fe9-466b74c8f51a,19,Substitution,16086,2018/2019,La Liga,Barcelona,Luis Alberto Suárez Díaz,Munir El Haddadi Mohamed,103,Tactical
035ac8ec-4bbb-4ed6-b83a-b9deae19e514,19,Substitution,303680,2019/2020,La Liga,Real Valladolid,Óscar Plano Pedreño,Waldo Rubio Martín,103,Tactical
14faa7c1-acc3-4eb7-b8db-49b860ce1d32,19,Substitution,3749196,2003/2004,Premier League,Tottenham Hotspur,Hélder Manuel Marques Postiga,Bobby Zamora,103,Tactical
ab979945-6f3b-4e77-8a3b-34c758b20f56,19,Substitution,3749196,2003/2004,Premier League,Tottenham Hotspur,Stephane Dalmat,Rohan Ricketts,103,Tactical
2f482034-e216-44a8-a60a-9d4c5789e175,19,Substitution,16095,2018/2019,La Liga,Barcelona,Ousmane Dembélé,Denis Suárez Fernández,103,Tactical
10b9c69d-f831-44f0-96d6-17c9e934f388,19,Substitution,3773593,2020/2021,La Liga,Barcelona,Antoine Griezmann,Francisco António Machado Mota de Castro Trincão,103,Tactical
c4711876-0aff-4c41-a804-e1a9a4187429,19,Substitution,16023,2018/2019,La Liga,Barcelona,Philippe Coutinho Correia,Ousmane Dembélé,103,Tactical
0497b48a-a3f2-4fc6-8a04-9f7c432f6772,19,Substitution,3749528,2003/2004,Premier League,Newcastle United,Laurent Robert,Darren Ambrose,103,Tactical
d86c4382-7104-410e-9407-c68996eed738,19,Substitution,3749196,2003/2004,Premier League,Arsenal,Nwankwo Christian Kanu,Eduardo César Daude Gaspar,103,Tactical
ec80ffd2-b71d-43bb-abc3-28f38615abd9,19,Substitution,3773593,2020/2021,La Liga,Barcelona,Sergio Busquets i Burgos,Miralem Pjanić,103,Tactical
c91694c4-656e-45cc-8c6f-18551382c81e,19,Substitution,3773587,2020/2021,La Liga,Getafe,Jaime Mata Arnaiz,Enes Ünal,103,Tactical
103ebc72-2aad-433c-8010-e3b5d2c0f99c,19,Substitution,3764440,2020/2021,La Liga,Elche,Lucas Ariel Boyé,Guido Marcelo Carrillo,103,Tactical
