name,id,gender,grp,country,manager
Getafe,216,male,,Spain,José Bordalás Jiménez
Granada,1049,male,,Spain,Diego Martínez Penas
Elche,1042,male,,Spain,Francisco Escriba Segura
Fulham,55,male,,England,Chris Coleman
Deportivo Alavés,206,male,,Spain,Abelardo Fernández Antuña
Mallorca,1043,male,,Spain,Vicente Moreno Peris
Chelsea,33,male,,England,Claudio Ranieri
Cádiz,552,male,,Spain,Álvaro Cervera Díaz
Real Madrid,220,male,,Spain,Santiago Hernán Solari Poggio
Sevilla,213,male,,Spain,Pablo Javier Machín Díez
Athletic Club,215,male,,Spain,Gaizka Garitano Aguirre
Real Valladolid,901,male,,Spain,Sergio González Soriano
Tottenham Hotspur,38,male,,England,David Pleat
Blackburn Rovers,98,male,,England,Graeme Souness
Girona,211,male,,Spain,Eusebio Sacristán Mena
Levante UD,221,male,,Spain,Francisco José López Fernández
Aston Villa,59,male,,England,David O''Leary
Leganés,205,male,,Spain,Mauricio Pellegrino
Arsenal,1,male,,England,Arsène Wenger
Everton,29,male,,England,David Moyes
Leeds United,101,male,,England,Peter Reid
Valencia,207,male,,Spain,Marcelino García Toral
Manchester United,39,male,,England,Alex Ferguson
Birmingham City,54,male,,England,Steve Bruce
Real Sociedad,210,male,,Spain,Asier Garitano Aguirrezábal
Espanyol,214,male,,Spain,Joan Francesc Ferrer Sicilia
Southampton,25,male,,England,Gordon Strachan
Celta Vigo,209,male,,Spain,José Miguel Azevedo Cardoso
Barcelona,217,male,,Spain,Ernesto Valverde Tejedor
Wolverhampton Wanderers,46,male,,England,Dave Jones
Rayo Vallecano,360,male,,Spain,Miguel Ángel Sánchez Muñoz
Osasuna,422,male,,Spain,Jagoba Arrasate Elustondo
Portsmouth,105,male,,England,Harry Redknapp
Villarreal,222,male,,Spain,Javier Calleja Revilla
Atlético Madrid,212,male,,Spain,Diego Pablo Simeone
Huesca,902,male,,Spain,Leonardo Neoren Franco
Manchester City,36,male,,England,Kevin Joseph Keegan
Liverpool,24,male,,England,
Eibar,322,male,,Spain,José Luis Mendilibar Etxebarria
Bolton Wanderers,328,male,,England,Sam Allardyce
Middlesbrough,47,male,,England,Steve McClaren
Real Betis,218,male,,Spain,Enrique Setién Solar
Leicester City,22,male,,England,Micky Adams
Charlton Athletic,75,male,,England,Alan Curbishley
Newcastle United,37,male,,England,Bobby Robson
